"user_id","age","male","friend_cnt","avg_friend_age","avg_friend_male","friend_country_cnt","subscriber_friend_cnt","songsListened","lovedTracks","posts","playlists","shouts","delta_friend_cnt","delta_avg_friend_age","delta_avg_friend_male","delta_friend_country_cnt","delta_subscriber_friend_cnt","delta_songsListened","delta_lovedTracks","delta_posts","delta_playlists","delta_shouts","tenure","good_country","delta_good_country","adopter"
2016,24,1,38,21.25,0.466666667,13,1,49889,66,0,0,15,-1,0.284482759,0.029166667,0,1,2196,0,0,0,0,52,0,0,0
2049,22,1,10,23.33333333,0.666666667,1,0,7194,33,0,0,57,0,0.444444444,0,0,0,0,0,0,0,0,60,1,0,0
2070,27,1,6,25.33333333,0.4,1,1,13059,5,0,0,67,0,0.333333333,0,0,0,-442,0,0,0,1,62,0,0,0
2107,23,1,22,20.85714286,0.555555556,3,0,29982,77,36,1,226,0,0.571428571,0,0,0,0,0,0,0,0,70,1,0,0
2120,27,1,3,29,0.5,2,0,2957,0,0,1,6,0,1,0,0,0,0,0,0,0,0,69,0,0,0
2144,22,1,10,21.66666667,0.714285714,4,0,30908,405,0,0,1,0,0.166666667,0,0,0,46,2,0,0,0,63,1,0,0
2146,25,1,8,22.75,0.625,2,0,5428,0,81,1,76,0,0.125,0,0,0,0,0,0,0,0,62,0,0,0
2205,24,0,87,22.98387097,0.913580247,13,1,9009,55,0,1,68,3,0.233870968,0.003323837,1,1,319,2,0,0,0,58,0,0,0
2219,20,1,1,22,1,1,0,2156,0,0,1,1,0,0,0,0,0,0,0,0,0,0,58,1,0,0
2263,22,1,29,21,0.764705882,9,0,324977,66,0,1,23,4,0.75,0.07239819,2,0,37000,0,0,0,0,68,1,0,0
2348,21,1,2,22.5,1,1,0,8748,0,0,0,4,0,0,0,0,0,0,0,0,0,0,71,1,0,0
2440,24,0,29,24,0.857142857,1,0,11963,246,1,1,59,0,0.130434783,0,0,-1,0,0,0,0,0,60,0,0,0
2478,25,0,15,25.30769231,0.785714286,2,0,2666,9,3,1,8,0,0.307692308,0,0,0,0,0,0,0,0,65,0,0,0
2496,29,1,6,33.66666667,1,2,0,14130,1,1,1,3,0,0,0,0,0,0,0,0,0,0,66,1,0,0
2615,28,1,4,24.5,0.333333333,1,0,4599,0,0,0,4,0,0,0,0,0,0,0,0,0,0,36,0,0,0
2619,21,0,54,24.71794872,0.302325581,14,1,60707,40,66,2,39,2,0.123354123,0.009642655,1,1,1027,0,0,0,1,87,1,0,0
2652,20,1,8,18.5,0.285714286,3,0,7750,94,0,0,16,6,0.5,-0.714285714,1,0,4687,33,0,0,3,6,0,0,0
2826,22,1,39,22.05714286,0.382352941,6,0,2862,6,0,0,26,0,0.371428571,0,2,-2,0,0,0,0,0,59,0,0,0
2926,29,0,2,30.5,1,1,0,489,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,64,0,0,0
2934,24,1,5,25.33333333,0.4,4,0,38571,6,0,0,4,1,0,0.15,1,0,1946,5,0,0,0,84,0,0,0
2942,18,0,2,19.5,0.5,1,0,0,40,0,0,3,0,0,0,0,0,0,0,0,0,0,28,0,0,0
2963,20,0,9,20.625,0.777777778,1,0,1010,7,0,0,3,0,0.25,0,0,0,0,0,0,0,0,22,0,0,0
2969,32,1,10,32.85714286,1,1,1,54856,21,12,1,9,0,0,0,0,0,2840,0,0,0,1,81,1,0,0
3087,28,1,18,25.81818182,0.833333333,6,0,56595,0,0,0,30,0,0.090909091,0,0,0,0,0,0,0,0,56,0,0,0
3168,27,0,26,29.58823529,0.681818182,2,5,22922,18,0,1,20,0,0.470588235,0,0,-1,0,0,0,0,0,72,0,0,0
3176,24,0,6,22.6,1,1,2,40112,272,11,1,51,-1,0.1,0.166666667,0,0,186,1,0,0,0,67,0,0,0
3215,19,0,31,22.60869565,0.793103448,13,2,39075,318,5,1,25,1,0.245059289,0.007389163,-1,0,7097,98,0,0,-5,63,1,0,0
3228,20,0,11,23.625,0,2,0,13567,103,0,0,5,0,0.375,-0.1,-1,0,307,1,0,0,0,25,1,0,0
3285,31,1,12,27.125,0.636363636,3,0,20308,0,0,1,5,0,0.5,0,0,0,959,0,0,0,0,58,0,0,0
3348,20,1,18,21.66666667,0.647058824,1,0,9223,0,0,0,10,0,0.166666667,0,0,0,0,0,0,0,0,54,0,0,0
3349,18,0,1,19,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,50,0,0,0
3405,25,0,1,26,0,1,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0,0
3406,35,1,2,25,1,2,0,106,7,0,1,2,0,0.5,0,0,0,0,0,0,0,0,30,1,0,0
3459,31,1,44,32.96875,0.641025641,9,2,33570,28,0,1,3,1,0.61391129,-0.016869096,0,-2,177,0,0,0,0,62,0,0,0
3549,34,1,3,35,1,2,0,2426,48,0,1,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0
3684,25,0,69,26.24074074,0.630769231,19,3,44342,732,2,1,141,-2,0.187169312,0.00955711,0,-2,527,7,0,0,1,46,0,0,0
3726,34,1,2,27,0,1,1,2067,0,0,0,4,0,0,0,0,0,0,0,0,0,0,42,0,0,0
3742,22,0,39,21.4375,0.8,17,0,17964,96,0,1,17,2,0.299568966,0.012121212,1,0,0,0,0,0,1,38,0,0,0
3745,26,1,1,30,0,1,0,333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,1,0,0
3784,23,1,19,19.6875,0.722222222,2,0,19464,347,0,0,40,2,-0.026785714,-0.027777778,0,0,1561,15,0,0,3,26,0,0,0
3921,42,1,23,32.6875,0.75,3,4,52331,211,3,1,2,1,0.4375,0,0,0,2604,21,0,0,0,58,1,0,0
3933,20,0,6,21.4,0.833333333,1,0,49266,37,1,1,16,0,0.4,0,0,0,0,0,0,0,0,69,1,0,0
4074,29,1,12,24.25,0.636363636,3,0,26102,31,7,1,3,0,0.25,0.036363636,0,0,1506,0,0,0,0,71,1,0,0
4099,36,1,3,26.5,1,1,0,1604,89,0,0,1,0,0.5,0,0,0,1,0,0,0,0,63,1,0,0
4113,26,0,22,26.82352941,1,13,1,5603,227,1,0,20,0,0.176470588,0,0,-1,0,0,0,0,0,34,0,0,0
4123,30,1,18,30.88888889,0.866666667,1,0,22160,65,0,0,6,0,0.444444444,0,0,0,4,0,0,0,0,81,1,0,0
4164,28,0,4,19.5,0.666666667,1,0,0,0,0,0,0,0,-3.166666667,0,0,0,0,0,0,0,0,64,0,0,0
4182,24,1,10,21.5,0.666666667,4,0,9315,42,0,0,2,0,0.333333333,0,0,0,0,0,0,0,0,40,0,0,0
4228,24,1,3,24.33333333,0,1,0,4683,0,0,0,4,0,0.666666667,0,0,0,0,0,0,0,0,52,0,0,0
4245,29,1,6,28.2,1,1,0,13460,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,80,0,0,0
4248,23,1,1,29,1,1,0,117,5,0,1,2,0,1,0,0,0,0,0,0,0,0,41,1,0,0
4256,25,1,4,25,0.666666667,1,0,4592,1,69,1,2,0,0,0,0,0,592,0,0,0,0,88,1,0,0
4267,26,1,6,27.2,1,2,0,14,0,0,1,6,0,0.6,0,0,0,0,0,0,0,0,50,0,0,0
4313,41,1,1,20,1,1,0,792,4,0,1,1,0,0,0,0,0,0,0,0,0,0,65,1,0,0
4338,23,1,8,22.42857143,0.833333333,1,0,44815,16,4,0,2,0,0.285714286,0,0,0,7,0,0,0,0,80,1,0,0
4391,18,1,1,19,1,1,0,6810,5,0,1,5,0,0,0,0,0,0,0,0,0,0,47,0,0,0
4443,42,1,15,39.66666667,0.5,4,1,44343,5,0,1,19,0,0.333333333,0,0,0,0,0,0,0,0,62,0,0,0
4464,25,0,18,24.92857143,0.6,4,0,64633,81,0,0,1,1,-0.456043956,0,0,0,5611,4,0,0,0,83,1,0,0
4508,17,1,1,18,0,1,0,2325,25,0,0,1,0,0,0,0,0,0,0,0,0,0,10,1,0,0
4600,17,1,4,17.5,0.75,1,0,8116,93,1,0,18,1,-2.5,0.083333333,0,0,2096,6,1,0,1,18,1,0,0
4614,41,1,37,28.23076923,0.941176471,10,1,66746,0,12,1,35,-1,0.86039886,-0.001680672,0,0,2433,0,0,0,2,90,0,0,0
4629,27,1,6,28,0.666666667,1,0,13305,88,5,1,3,0,0,0,0,0,0,0,0,0,0,63,0,0,0
4641,23,1,29,23.44,0.708333333,5,0,2026,0,0,0,53,-1,0.324615385,0.028333333,0,0,57,0,0,0,0,60,0,0,0
4716,42,1,1,21,0,1,0,1416,17,5,0,1,0,0,0,0,0,0,0,0,0,0,68,0,0,0
4739,30,1,26,29.61538462,0.684210526,4,1,52460,202,12,1,8,0,-0.051282051,-0.021671827,0,-2,3769,5,0,0,0,73,1,0,0
4782,20,1,11,26.16666667,0.875,5,0,3332,451,0,1,18,0,0.666666667,0,0,0,0,0,0,0,0,73,0,0,0
4842,32,1,1,35,1,1,1,215,15,0,1,3,0,1,0,0,1,0,0,0,0,0,48,0,0,0
4857,20,0,3,20.66666667,0,2,0,10601,0,1,0,4,0,0.333333333,0,0,0,0,0,0,0,0,70,1,0,0
4892,23,1,8,22.33333333,0.875,1,0,47424,0,0,0,13,1,0.166666667,0.017857143,0,0,2827,0,0,0,0,63,0,0,0
4926,15,0,13,19.5,0.666666667,4,0,13454,40,0,1,18,1,0.863636364,0.03030303,0,0,2576,1,0,0,0,13,0,0,0
4983,22,1,29,23.56521739,0.551724138,3,2,50097,181,0,1,11,0,0.519762846,0,-1,1,1369,4,0,0,-1,51,0,0,0
5034,22,0,2,24,1,1,0,102,9,0,0,1,0,0,0,0,0,0,0,0,0,0,69,0,0,0
5037,25,1,3,21.5,0.333333333,1,0,26321,3,0,1,3,0,0,0,0,0,0,0,0,0,0,63,0,0,0
5061,27,0,62,32.70454546,0.892857143,24,7,178531,101,0,1,41,0,0.415656566,0,0,0,4266,1,0,0,1,67,0,0,0
5064,17,1,207,19.19135803,0.563829787,37,1,14478,1302,31,0,416,8,0.363332547,0.008274232,1,-1,4934,208,0,0,31,30,0,0,0
5124,20,1,4,20,0,2,0,320,1,1,1,0,3,0,0,1,0,0,0,0,0,0,74,0,0,0
5135,20,1,4,18.5,0.75,1,0,4822,0,0,0,1,0,0.25,0,0,0,0,0,0,0,0,27,0,0,0
5139,20,1,9,19.57142857,0.625,3,0,12669,0,0,0,20,0,0.142857143,0,0,0,121,0,0,0,0,29,0,0,0
5183,27,1,28,28.9,0.608695652,15,0,34252,87,0,0,6,2,1.794736842,0.017786561,1,0,578,0,0,0,0,61,0,0,0
5286,25,0,10,24.875,0.571428571,1,0,7261,17,0,0,1,0,0.125,0,0,0,0,0,0,0,0,86,1,0,0
5336,20,0,16,20.46153846,0.466666667,2,0,28795,68,3,0,32,-1,-0.10989011,-0.033333333,0,0,3632,0,0,0,0,73,1,0,0
5349,41,1,24,31.8125,0.529411765,5,0,8075,3,3,1,0,-1,0.1875,0,-1,0,0,0,0,0,0,77,1,0,0
5353,24,1,27,22.3125,0.260869565,3,0,46443,1,0,0,13,-1,0.3125,-0.030797101,0,0,1197,0,0,0,0,44,0,0,0
5385,54,1,4,27.33333333,0.666666667,1,0,2977,0,0,1,0,0,0.666666667,0,0,0,0,0,0,0,0,44,0,0,0
5430,22,0,5,29.66666667,1,2,0,5886,0,0,1,8,0,0.333333333,0,0,0,0,0,0,0,0,46,0,0,0
5557,20,1,5,21.33333333,0.25,1,0,2281,20,0,0,12,0,0,0,0,0,1176,4,0,0,0,37,0,0,0
5568,25,1,13,27.75,0.5,1,0,5669,0,0,1,6,0,0,0,0,0,0,0,0,0,0,35,0,0,0
5614,22,1,2,21.5,1,1,0,11988,0,0,0,0,0,1,0,0,0,0,0,0,0,0,85,0,0,0
5648,19,0,1,19,1,1,0,213,3,0,1,2,0,0,0,0,0,0,0,0,0,0,26,0,0,0
5654,21,1,5,25.2,0.8,1,0,40722,0,0,1,3,0,0.4,0,0,0,0,0,0,0,0,58,1,0,0
5671,30,1,5,40,0.666666667,3,0,30244,36,0,1,3,0,0,0,0,0,1740,0,0,0,0,53,1,0,0
5673,20,1,15,20.8,0.666666667,1,0,6040,0,0,0,7,0,0.4,0,0,0,0,0,0,0,0,60,1,0,0
5681,20,1,2,19,0.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,37,0,0,0
5687,22,1,8,19.375,0.285714286,2,0,4017,32,0,1,3,1,-0.482142857,-0.047619048,0,0,131,0,0,0,0,19,0,0,0
5785,22,1,4,21.66666667,1,1,0,2365,29,0,1,4,-1,0.666666667,0.333333333,0,0,0,0,0,0,0,32,1,0,0
5880,20,0,22,22.76470588,0.55,4,0,128,0,0,1,16,0,0.235294118,0,0,0,0,0,0,0,0,59,0,0,0
5885,24,1,35,22.95652174,0.653846154,5,0,69066,226,35,1,70,1,0.130434783,0.013846154,0,-1,1667,2,0,0,0,64,0,0,1
5929,40,1,3,40,0.5,2,0,7038,7,2,1,0,0,1,0,0,0,0,0,0,0,0,47,0,0,0
5959,17,0,8,19.5,0.75,5,0,161,19,0,1,7,0,0.5,0,0,0,0,0,0,0,0,39,1,0,0
6092,24,1,7,27.66666667,0.5,1,0,15607,0,3,1,4,0,0.5,0,0,0,612,0,0,0,0,72,0,0,0
6167,23,1,2,22,1,1,0,13167,3,1,1,2,0,0,0,0,0,0,0,0,0,0,66,1,0,0
6231,26,1,8,26.4,0.6,2,1,8538,125,0,2,5,0,0.2,0,0,1,0,0,0,0,0,44,1,0,0
6245,19,1,6,25.4,0.75,3,0,782,2,2,1,0,0,0.4,0,0,0,0,0,0,0,0,64,0,0,0
6303,28,1,1,18,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,0,0,0
6310,23,1,3,21,0,2,0,5057,4,0,1,17,0,0,0,0,0,0,0,0,0,0,59,0,0,0
6355,27,1,36,29.66666667,0.692307692,7,1,65529,32,0,1,11,-1,0.257575758,-0.011396011,0,0,3163,1,0,0,0,52,0,0,0
6516,19,0,4,22.75,0.75,3,1,1348,6,0,1,5,0,0.25,0,0,1,0,0,0,0,0,36,0,0,0
6524,24,1,3,23,1,1,0,6169,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,68,0,0,0
6549,23,1,30,22.58333333,0.72,2,0,18450,15,15,1,16,0,0.25,0,0,0,0,0,0,0,0,79,1,0,0
6578,17,1,2,20,0,2,0,3385,243,0,0,12,1,0,0,1,0,758,16,0,0,2,31,0,0,0
6616,27,0,29,24.17391304,0.76,3,1,717,14,0,1,9,0,0.217391304,0,0,1,0,0,0,0,0,46,0,0,0
6678,36,1,3,29,1,3,0,319,12,0,1,2,0,0,0,0,0,0,0,0,0,0,67,0,0,0
6685,22,1,7,23.5,0.333333333,2,0,17760,3,0,0,11,0,0,0,0,0,0,0,0,0,0,65,0,0,0
6696,21,1,2,22,0.5,1,0,901,0,1,0,2,0,0.5,0,0,0,0,0,0,0,0,51,0,0,0
6734,21,0,2,26.5,1,2,0,3986,1,3,0,29,0,0,0,0,0,0,0,0,0,0,72,1,0,0
6738,21,0,1,22,0,1,0,135,27,0,0,3,0,1,0,0,0,0,0,0,0,0,63,1,0,0
6772,20,0,3,22,0.5,1,0,1811,0,0,0,2,0,0,0,0,0,0,0,0,0,0,66,1,0,0
6855,21,1,1,22,0,1,0,1687,295,0,1,5,0,1,0,0,0,0,0,0,0,0,59,0,0,0
6872,20,0,5,21.8,0.2,2,0,2559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0
6902,26,0,1,28,1,1,0,2460,0,0,0,1,0,0,0,0,0,0,0,0,0,0,90,1,0,0
7026,19,1,17,18.72727273,0.666666667,3,0,24580,621,0,0,5,2,0.616161616,0.051282051,0,0,1789,-3,0,0,0,59,0,0,0
7133,21,1,29,21.45454546,0.875,4,0,80377,39,7,0,357,1,0.264069264,-0.038043478,0,0,953,2,0,0,1,65,0,0,0
7140,25,1,6,22.83333333,0.5,1,0,2689,3,0,0,2,0,0.166666667,0,0,0,0,0,0,0,0,77,1,0,0
7143,18,0,7,24.83333333,0.5,4,0,12620,0,9,0,25,0,0,0,0,0,0,0,0,0,0,67,1,0,0
7180,25,0,35,27.23076923,0.857142857,13,1,8198,217,0,0,59,0,0.346153846,0.02955665,0,0,0,1,0,0,0,65,0,0,0
7282,20,0,2,20.5,0.5,1,0,1524,3,0,0,0,0,0.5,0,0,0,285,1,0,0,0,8,0,0,0
7309,17,1,7,19.83333333,0.666666667,3,0,9862,93,0,1,10,0,0.166666667,0,0,0,0,0,0,0,0,49,1,0,0
7311,27,1,7,26.83333333,0.166666667,3,0,24891,18,0,0,2,2,-1.416666667,-0.083333333,0,0,8472,8,0,0,2,70,0,0,0
7343,24,0,47,23.97297297,0.170731707,3,1,47030,399,4,1,57,-2,0.306306306,-0.015314804,1,1,3364,20,0,0,1,60,0,0,1
7408,33,0,15,30.33333333,0.846153846,5,0,18141,12,10,1,3,0,0.444444444,0,0,0,0,0,0,0,0,62,0,0,0
7501,18,0,31,20.65384615,0.266666667,9,0,29963,57,0,1,42,0,0.153846154,0,0,0,342,0,0,0,0,45,0,0,0
7567,24,1,1,23,0,1,0,10739,2,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1,0,0
7592,21,1,5,21.33333333,0.6,1,0,25992,0,0,1,21,0,0.333333333,0,0,0,0,0,0,0,0,68,0,0,0
7595,18,1,1,17,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,41,1,0,0
7633,23,0,5,25.6,0.6,2,0,735,9,0,1,3,0,0.2,0,0,0,0,0,0,0,0,59,1,0,0
7637,20,1,17,20.30769231,0.923076923,4,0,11844,34,1,0,9,0,0.230769231,-0.076923077,0,0,202,0,0,0,0,61,1,0,0
7645,21,0,61,23.53846154,0.56,7,1,30568,4,0,0,74,0,0.307692308,0,0,1,488,1,0,0,0,66,1,0,0
7655,22,1,15,24.08333333,0.692307692,4,0,64026,0,9,0,54,0,0.083333333,0,1,0,0,0,0,0,0,73,0,0,0
7697,25,1,2,21,0,1,0,1316,12,20,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0,0
7724,29,1,1,22,1,1,0,269,0,1,0,1,0,0,0,0,0,0,0,0,0,0,72,1,0,0
7751,21,0,27,22.91304348,0.727272727,3,0,44532,21,239,1,77,0,0.173913044,0,0,-1,5986,0,0,0,1,75,1,0,0
7799,25,1,24,24.30769231,0.8,7,0,56009,104,7,1,31,2,0.307692308,-0.042105263,0,0,3285,8,0,0,1,62,0,0,0
7828,18,1,10,17.875,0.666666667,5,0,5957,468,0,0,34,-1,0,0.066666667,0,0,1082,43,0,0,6,20,0,0,0
7829,19,1,176,20.52054795,0.542682927,29,2,47930,911,12,0,16,20,0.247110445,0.028984297,2,-1,11973,88,1,0,-6,41,0,0,0
7831,30,1,12,26,0.909090909,6,0,111382,4,0,0,10,1,0.75,0.009090909,0,0,7799,0,0,0,0,70,0,0,0
7850,26,1,98,23.24390244,0.304347826,14,2,67061,409,23,0,1179,5,0.154158849,-0.010258915,0,1,1161,61,0,0,-5,61,0,0,0
7854,27,1,20,26.17647059,0.888888889,2,0,84071,60,0,0,63,-1,0.120915033,-0.005847953,0,0,3690,6,0,0,0,47,0,0,0
7890,27,1,59,26.48837209,0.644444444,11,0,96370,180,4,1,272,1,0.372093023,0.008080808,0,-1,264,0,0,0,1,64,1,0,0
7929,34,0,32,31.60869565,0.785714286,6,2,13666,6,2,1,22,2,-0.200828157,-0.06043956,0,0,18,0,0,0,0,79,1,0,0
7931,21,0,24,22.91304348,0.714285714,2,0,12638,5,0,1,81,0,0.260869565,0,0,0,0,0,0,0,0,68,0,0,0
7941,18,1,11,20.22222222,0.4,4,0,9996,25,0,1,2,1,0.347222222,-0.044444444,0,0,732,1,0,0,0,16,0,0,0
8017,20,1,76,22.5,0.681818182,21,2,110229,431,1,1,66,6,-0.160377358,-0.011730205,2,1,5354,17,0,0,23,57,0,0,1
8214,21,1,34,21.69230769,0.607142857,5,1,222770,574,19,1,58,0,0.358974359,0,0,1,1180,0,0,0,0,76,0,0,0
8392,21,0,49,23.87179487,0.461538462,8,1,95482,597,3,1,4,0,0.307692308,0,0,0,450,11,0,0,0,62,0,0,0
8434,24,1,1,23,0,1,0,7717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,0,0
8457,26,1,6,24,0.4,2,0,5093,1,6,0,1,0,0,0,0,0,1,0,0,0,0,79,1,0,0
8509,24,1,24,24.78947368,0.636363636,3,0,31781,802,24,0,290,-1,0.368421053,-0.015810277,0,0,94,0,0,0,0,73,0,0,0
8543,23,1,6,19,0.8,5,0,5033,85,0,0,1,0,0.5,0,0,0,0,2,0,0,0,19,0,0,0
8596,25,1,15,24.90909091,0.846153846,2,0,74890,24,6,0,77,0,0.272727273,0,0,0,1921,0,0,0,0,94,0,0,0
8602,21,1,74,22.81666667,0.712121212,9,0,17180,3,61,1,45,-1,0.259289618,-0.004296698,0,0,1797,0,0,0,0,60,0,0,0
8666,22,0,67,24.62962963,0.822580645,1,0,15547,2,9,1,306,-1,0.37962963,-0.00281618,0,0,10,0,0,0,0,63,0,0,0
8669,21,1,11,25.75,0.75,4,0,62787,71,0,1,4,0,0.25,0,0,0,-1665,2,0,0,0,74,1,0,0
8689,21,1,4,20,0.75,1,0,8362,7,0,1,1,0,0.5,0,0,0,0,0,0,0,0,50,0,0,0
8829,28,0,20,26,0.176470588,7,0,68221,50,0,0,81,0,0.1875,0,0,0,0,0,0,0,1,59,1,0,0
8870,29,0,25,28.65,0.454545455,8,2,21268,107,1,2,24,0,0.35,0,0,0,521,8,0,0,0,60,0,0,0
8964,23,0,2,25.5,0.5,1,0,20623,355,1,1,0,0,0,0,0,0,1023,0,0,0,0,69,0,0,0
9018,21,0,30,24.65217391,0.714285714,9,0,23313,2,0,0,31,1,0.243083004,0.010582011,0,-1,53,0,0,0,0,83,0,0,0
